Item,At1,At2,At3,At4,At5,At6,At7,At8,At9,At10
Indonesia,0.21006350757205666,0.28260869565217395,0.12295081967213115,0.296875,0.0625,0.15384615384615385,0.2916666666666667,0.27460732984293196,0,0.21518987341772153
Jamaica,0.3629702002931119,0.07608695652173914,0.12295081967213115,0,0.375,0.6538461538461539,0.08333333333333333,0.03926701570680628,0.07142857142857142,0.3037974683544304
Jordania,0.281875915974597,0.27173913043478265,0.03278688524590164,0,0.625,0.6153846153846154,0.7916666666666666,0.19921465968586388,0.21428571428571427,0.05063291139240506
Kazajstan,0.5183194919394235,0.4239130434782609,0.47540983606557374,0,0.375,0.2692307692307692,0.25,0.07801047120418848,0,1
Kenya,0.07865168539325842,0.03260869565217391,0.08196721311475409,0.3125,0.4375,1,0.25,0.4654450261780105,0.42857142857142855,0.05063291139240506
Kirguistan,0.10649731314118221,0.05434782608695653,0.30327868852459017,0.03125,0.75,0.4230769230769231,0.2916666666666667,0.0824607329842932,0.5,0.11392405063291139
Lesotho,0.09330727894479726,0.23913043478260873,0.06557377049180328,0.671875,0.5625,0.6923076923076923,0.16666666666666666,0.032198952879581154,0.42857142857142855,0.02531645569620253
Malasia,0.701514411333659,0.3478260869565218,0.03278688524590164,0,0.375,0.8846153846153846,0.4583333333333333,0.03769633507853403,0,0.06329113924050633
Maldivas,0.2677088422081094,0.532608695652174,0.02459016393442623,0.03125,0.5,0.7307692307692307,0.25,0.008638743455497382,0.21428571428571427,0.08860759493670886
Mexico,0.7332681973619931,0.16304347826086957,0.10655737704918032,0.046875,0.3125,0.9615384615384616,0.125,0.04842931937172775,0,0.189873417721519
Mongolia,0.180752320468979,0.3369565217391305,0.20491803278688525,0.34375,0.375,0.34615384615384615,0.375,0.09738219895287958,0.6428571428571429,0.05063291139240506
Marruecos,0.22276502198339032,0.2608695652173913,0.02459016393442623,0.046875,0.1875,0.6923076923076923,0.5416666666666666,0.2387434554973822,0.07142857142857142,0.12658227848101267
Nepal,0.05862237420615535,0.20652173913043478,0.05737704918032787,0.859375,0.4375,0.6923076923076923,0.375,0.2238219895287958,0.5,0.05063291139240506
Nicaragua,0.12750366389838788,0.20652173913043478,0.14754098360655737,0.25,0.8125,0.6153846153846154,0.25,0.20261780104712043,0.9285714285714286,0.16455696202531644
Pakistan,0.1358085002442599,0.1847826086956522,0.08196721311475409,0.359375,0.0625,0.07692307692307693,0.5416666666666666,0.7280104712041885,0.14285714285714285,0.12658227848101267
Paraguay,0.265266243282853,0.010869565217391306,0.08196721311475409,0.078125,0.4375,0.8461538461538461,0.4583333333333333,0.0387434554973822,0.07142857142857142,0.06329113924050633
Filipinas,0.19198827552515876,0.2173913043478261,0.05737704918032787,0.359375,0.125,0.7307692307692307,0.20833333333333334,0.08115183246073299,0,0.17721518987341772
Senegal,0.0903761602344895,0.11956521739130437,0.03278688524590164,0.53125,0.1875,0.5384615384615384,0.2916666666666667,0.26649214659685866,0.5714285714285714,0.0379746835443038
Serbia,0.5486077186126038,0.16304347826086957,0.19672131147540983,0,1,0.38461538461538464,0.25,0.15916230366492146,0.07142857142857142,0.35443037974683544
Seychelles,1,0.1956521739130435,0.040983606557377046,0,0.5625,0.3076923076923077,0.125,0.006020942408376963,0.2857142857142857,0.0759493670886076
Sri Lanka,0.24767953102100634,0.44565217391304346,0.08196721311475409,0.109375,0.375,0.38461538461538464,0.75,0.18429319371727748,0.14285714285714285,0.12658227848101267
Swazilandia,0.23888617489008304,0.1739130434782609,0.06557377049180328,0.984375,0.5,0.7692307692307693,0.3333333333333333,0.015183246073298429,0.14285714285714285,0.02531645569620253
Siria,0.23790913531998045,0.1739130434782609,0.05737704918032787,0.03125,0.125,0.34615384615384615,1,0.06413612565445026,0,0.0379746835443038
Tunez,0.3976551050317538,0.3804347826086957,0.03278688524590164,0.046875,0.3125,0.7307692307692307,0.16666666666666666,0.12408376963350785,0.07142857142857142,0.11392405063291139
Turquia,0.7122618466047875,0.25,0.3770491803278688,0.046875,0.1875,0.38461538461538464,0.3333333333333333,0.3565445026178011,0,0.5063291139240507
Ucrania,0.3214460185637518,0.04347826086956522,0.5901639344262295,0,0.1875,0.23076923076923078,0.125,0.17486910994764399,0.07142857142857142,0.43037974683544306
Uruguay,0.6785539814362481,0.2173913043478261,0.13114754098360656,0,0.4375,0.3076923076923077,0.16666666666666666,0.013350785340314137,0,0.25316455696202533
Venezuela,0.583781143136297,0.03260869565217391,0.27049180327868855,0.0625,0.5,0.8076923076923077,0.20833333333333334,0.017539267015706805,0,0.0759493670886076
Yemen,0.11333659013190034,0.16304347826086957,0.13934426229508196,0.28125,0.25,0.8461538461538461,0.7916666666666666,0.13089005235602094,0.14285714285714285,0.0379746835443038
Zambia,0.06692721055202736,0.06521739130434782,0.23770491803278687,1,0.8125,0.5384615384615384,0.16666666666666666,0.3321989528795812,0.7857142857142857,0.0379746835443038
